https://github.com/l123456789jy/Lazy
内容说明

工具	描述
AnimationUtils		动画工具类
AppUtils		APP相关信息工具类
AssetDatabaseOpenHelper	目录资源获取
Base64			加密
BitmapUtil		获取Bitmap和对Bitmap的操作
ChannelUtil		获取市场号
Colors			颜色工具类 包括常用的色值
DES			DES加密解密类
DataCleanManager	本应用数据清除管理器
DatabaseExportUtils	应用数据库导出工具类
DateUtil		日期操作工具类
DbHelper		数据库帮助类
DensityUtil		屏幕信息获取数值的转换
DeviceStatusUtils	手机状态工具类 主要包括网络、蓝牙、屏幕亮度、飞行模式、音量等
DigestUtils		DigestUtils
FileUtils		文件操作
HanziToPinyin		拼音汉字处理
IOUtils			IOUtils
MD5			MD5
MiscUtils		设备信息的获取
NetWorkUtils		网络状态
PhoneUtil		手机组件调用工具类
PreferencesUtils	sp工具类
RandomUtils		随机数工具类
RecorderControl		录音工具类
SerializeUtils		Serialize
ShellUtils		shell指令
ShortCutUtils		创建删除快捷图标
SingletonUtils		单例工具
SizeUtils		SizeUtils
SqliteUtils		SqliteUtils
StreamUtils		流转换成字符串
StringUtils		String
SystemUtils		线程池工具类
TimeUtils		TimeUtils
ToastUtils		ToastUtils
TransitionTime		用来计算显示的时间是多久之前
ViewAnimationUtils	视图动画工具箱，提供简单的控制视图的动画的工具方法
ViewUtils		view控制
WiFiUtil		WiFiUtil
WindowUtils		窗口工具箱
ZipUtil			实现的Zip工具
BadgeUtil		设置Badge
LogUtil			LogUti工具类
ArrayUtils		数组工具类，提供一些有关数组的便捷方法
ByteUtils		字节工具类，提供一些有关字节的便捷方法
CheckAdapter		选择适配器
CheckingUtils		提供常用数据验证的工具类，不符合的话就抛异常
Countdown		倒计时器
DialogUtils		对话框工具箱
DoubleClickExitDetector	双击退出识别器
ImageProcessor		图片处理器
InputMethodUtils	软键盘工具类
LoopTimer		循环定时器
NestedGridView		嵌套使用的GridView
NestedListView		嵌套使用的ListView
OSUtils			Android系统工具箱
OtherUtils		主要是给字符串添加html
ReflectUtils		反射工具类，提供一些Java基本的反射功能
RegexUtils		正则表达式工具类，提供一些常用的正则表达式
SDCardUtils		SD卡工具箱
Symbols			常用符号
WebViewManager		WebView管理器，提供常用设置
AmUtiles		定时器工具类
XmlParseUtiles		对pull解析xml进行了封装
AntiEmulatorUtiles	检测是否在模拟器上运行
code style		drakeet的code style
FastBlur		毛玻璃效果
AES			AES加解密
M3U8ParserUtiles	解析m3u8文件
Hex			转换成16进制
CreatQRCodeImg		生成带log二维码
NoPreloadViewPager	禁止预加载的viewpager
App			通过反射获取Application单利的工具类
MediaPlayerUtiles	播放资源目录下音频文件
